Season,Jul,Aug,Sep,Oct,Nov,Dec,Season Total Average
1877,0.0,0.0,0.0,0.86,0.45,3.93,5.24
1878,0.0,0.0,0.0,0.14,0.0,4.7,4.84
1879,0.0,0.0,0.0,0.93,3.44,6.53,10.9
1880,0.0,0.0,0.0,0.14,0.67,8.4,9.21
1881,0.0,0.0,0.0,0.82,0.27,0.52,1.6099999999999999
1882,0.0,0.0,0.0,0.05,1.82,0.08,1.9500000000000002
1883,0.0,0.0,0.0,1.42,0.0,2.56,3.98
1884,0.0,0.0,0.0,0.39,1.06,4.64,6.09
1885,0.0,0.0,0.0,0.26,5.52,1.63,7.409999999999999
1886,0.24,0.21,0.0,0.01,1.18,0.18,1.8199999999999998
1887,0.07,0.0,0.15,0.12,0.78,2.67,3.79
1888,0.03,0.08,0.0,0.36,4.01,6.26,10.739999999999998
1889,0.0,0.61,0.0,6.96,1.35,15.8,24.72
1890,0.0,0.03,0.06,0.03,0.13,2.32,2.57
1891,0.0,0.0,0.06,0.0,0.0,1.99,2.05
1892,0.0,0.01,0.0,0.33,4.4,4.18,8.92
1893,0.0,0.0,0.0,0.75,0.2,3.65,4.6
1894,0.0,0.01,0.73,0.02,0.0,4.62,5.38
1895,0.0,0.0,0.0,0.24,0.8,0.78,1.82
1896,0.02,0.01,0.0,1.3,1.66,2.12,5.11
1897,0.0,0.0,0.0,2.47,0.01,0.05,2.53
1898,0.07,0.0,0.02,0.09,0.0,0.12,0.3
1899,0.0,0.01,0.0,1.59,0.9,0.9,3.4
1900,0.0,0.0,0.0,0.26,6.53,0.0,6.79
1901,0.0,0.09,0.03,1.88,0.46,0.0,2.46
1902,0.0,0.0,0.0,0.4,2.08,2.5,4.98
1903,0.0,0.0,0.43,0.0,0.0,0.0,0.43
1904,0.0,0.17,0.28,0.69,0.0,2.45,3.5900000000000003
1905,0.0,0.0,0.0,0.08,2.98,0.2,3.2600000000000002
1906,0.02,0.03,0.05,0.0,0.85,5.12,6.07
1907,0.0,0.0,0.0,1.19,0.0,0.88,2.07
1908,0.0,0.08,1.22,0.25,1.08,1.46,4.09
1909,0.0,0.0,0.04,0.28,1.51,7.0,8.83
1910,0.04,0.0,0.01,0.82,0.15,0.07,1.09
1911,0.0,0.0,1.23,0.16,0.1,1.27,2.76
1912,0.0,0.0,0.0,0.56,0.35,0.03,0.9400000000000001
1913,0.0,0.0,0.03,0.0,3.0,1.66,4.6899999999999995
1914,0.01,0.0,0.0,0.31,0.2,3.73,4.25
1915,0.0,0.0,0.0,0.0,1.35,2.52,3.87
1916,0.0,0.0,0.77,2.71,0.09,3.67,7.24
1917,0.0,0.0,0.0,0.0,0.36,0.07,0.43
