ZIP Code,YoY Growth 2024,Total Exposure 2024,YoY Growth 2023,Total Exposure 2023,YoY Growth 2022,Total Exposure 2022,YoY Growth 2021,Total Exposure 2021,Total Exposure 2020
Total,59.4%,"$ 431,066,383,171",33.8%,"$ 2 70,510,184,565",29.8%,"$ 2 02,103,248,060",35.0%,"$ 1 55,719,573,171","$ 1 15,311,779,134"
94501,67.6%,"$ 9 8,431,342",17.9%,"$ 5 8,719,416",13.7%,"$ 4 9,797,731",9.1%,"$ 4 3,791,971","$ 4 0,143,917"
94502,1327.4%,"$ 6 ,880,050",2.5%,"$ 4 81,983",185.0%,"$ 4 70,279",0.0%,"$ 1 65,000","$ 1 65,000"
94536,199.5%,"$ 4 0,642,190",85.2%,"$ 1 3,571,624",30.7%,"$ 7 ,327,808",26.4%,"$ 5 ,605,823","$ 4 ,435,256"
94538,144.5%,"$ 1 5,574,256",164.7%,"$ 6 ,370,385",77.1%,"$ 2 ,406,677",35.2%,"$ 1 ,358,996","$ 1 ,004,964"
94539,193.4%,"$ 7 9,814,473",98.3%,"$ 2 7,207,162",269.6%,"$ 1 3,722,261",-9.4%,"$ 3 ,712,311","$ 4 ,096,084"
94541,132.1%,"$ 7 8,048,156",20.4%,"$ 3 3,625,350",31.7%,"$ 2 7,934,720",-1.2%,"$ 2 1,218,575","$ 2 1,470,794"
94542,255.9%,"$ 1 83,062,649",53.6%,"$ 5 1,431,609",17.3%,"$ 3 3,482,333",92.5%,"$ 2 8,540,530","$ 1 4,825,692"
94544,507.5%,"$ 5 0,999,432",41.3%,"$ 8 ,395,226",15.3%,"$ 5 ,942,361",-0.3%,"$ 5 ,155,708","$ 5 ,173,433"
94545,156.1%,"$ 1 7,229,671",75.2%,"$ 6 ,728,891",-30.7%,"$ 3 ,839,754",-16.7%,"$ 5 ,544,735","$ 6 ,657,195"
94546,309.3%,"$ 1 36,606,590",146.6%,"$ 3 3,376,630",1.3%,"$ 1 3,531,999",31.0%,"$ 1 3,351,934","$ 1 0,194,201"
94550,35.6%,"$ 5 8,316,207",50.6%,"$ 4 3,007,670",76.1%,"$ 2 8,554,408",27.5%,"$ 1 6,214,824","$ 1 2,721,208"
94551,391.9%,"$ 1 28,569,497",124.2%,"$ 2 6,139,322",135.9%,"$ 1 1,659,902",7.1%,"$ 4 ,941,740","$ 4 ,612,847"
94552,122.3%,"$ 3 98,830,467",58.4%,"$ 1 79,423,773",65.7%,"$ 1 13,240,416",38.6%,"$ 6 8,360,224","$ 4 9,307,778"
94555,605.3%,"$ 1 4,599,287",79.2%,"$ 2 ,069,814",-11.7%,"$ 1 ,154,945",38.2%,"$ 1 ,307,357","$ 9 46,270"
94560,493.9%,"$ 8 ,034,584",-27.4%,"$ 1 ,352,944",19.5%,"$ 1 ,863,128",-19.9%,"$ 1 ,558,772","$ 1 ,945,791"
94566,600.6%,"$ 3 75,143,595",154.4%,"$ 5 3,545,555",78.1%,"$ 2 1,047,835",10.5%,"$ 1 1,820,533","$ 1 0,698,579"
94568,491.9%,"$ 1 31,992,902",158.7%,"$ 2 2,300,854",72.7%,"$ 8 ,621,366",333.5%,"$ 4 ,991,591","$ 1 ,151,468"
94577,462.9%,"$ 7 1,920,786",51.1%,"$ 1 2,776,348",-29.3%,"$ 8 ,455,554",59.5%,"$ 1 1,957,877","$ 7 ,497,925"
94578,420.3%,"$ 2 8,047,000",23.8%,"$ 5 ,390,195",-15.7%,"$ 4 ,353,907",25.0%,"$ 5 ,166,994","$ 4 ,132,542"
94579,1771.5%,"$ 1 3,317,455",7.6%,"$ 7 11,601",-14.4%,"$ 6 61,396",-15.6%,"$ 7 72,874","$ 9 15,923"
