ZIP Code,YoY Growth 2024,Total Policies 2024,YoY Growth 2023,Total Policies 2023,YoY Growth 2022,Total Policies 2022,YoY Growth 2021,Total Policies 2021,Total Policies 2020
,,,,,,,,,
,40.30%,449832,20.60%,320572,12.40%,265909,15.40%,236515,204868
94501,33.30%,104,4.00%,78,6.30%,75,0.00%,80,80
94502,250.00%,7,0.00%,2,100.00%,2,0.00%,1,1
94536,210.50%,59,72.70%,19,22.20%,11,10.00%,9,10
94538,140.00%,24,66.70%,10,20.00%,6,25.00%,5,4
94539,247.10%,59,112.50%,17,166.70%,8,25.00%,3,4
94541,55.40%,115,12.10%,74,4.80%,66,13.70%,63,73
94542,190.50%,122,40.00%,42,0.00%,30,42.90%,30,21
94544,268.40%,70,35.70%,19,12.50%,14,11.10%,16,18
94545,81.30%,29,33.30%,16,29.40%,12,19.00%,17,21
94546,245.70%,121,118.80%,35,11.10%,16,5.30%,18,19
94550,22.00%,50,24.20%,41,22.20%,33,0.00%,27,27
94551,370.40%,127,80.00%,27,15.40%,15,0.00%,13,13
94552,101.40%,290,37.10%,144,40.00%,105,23.00%,75,61
94555,425.00%,21,33.30%,4,0.00%,3,0.00%,3,3
94560,133.30%,14,14.30%,6,12.50%,7,20.00%,8,10
94566,575.00%,189,100.00%,28,40.00%,14,11.10%,10,9
94568,560.00%,99,114.30%,15,40.00%,7,150.00%,5,2
94577,320.00%,84,11.10%,20,35.70%,18,12.00%,28,25
94578,270.00%,37,11.10%,10,35.70%,9,16.70%,14,12
94579,1050.00%,23,0.00%,2,33.30%,2,25.00%,3,4
94580,150.00%,15,14.30%,6,0.00%,7,0.00%,7,7
94586,57.40%,74,20.50%,47,44.40%,39,3.60%,27,28
94587,657.10%,53,40.00%,7,37.50%,5,0.00%,8,8
94588,242.10%,130,81.00%,38,162.50%,21,60.00%,8,5
94601,40.90%,186,0.80%,132,3.70%,131,9.90%,136,151
94602,121.30%,166,8.70%,75,3.00%,69,36.70%,67,49
94603,14.90%,77,5.60%,67,9.00%,71,11.40%,78,88
94605,74.90%,327,17.60%,187,3.20%,159,27.30%,154,121
94606,103.70%,110,11.50%,54,0.00%,61,11.60%,61,69
94607,15.20%,76,10.00%,66,10.40%,60,13.00%,67,77
94608,31.40%,92,11.10%,70,4.50%,63,20.50%,66,83
94609,62.80%,70,10.30%,43,9.30%,39,6.50%,43,46
94610,152.20%,58,53.30%,23,15.40%,15,13.30%,13,15
94611,42.60%,1666,16.70%,1168,26.50%,1001,44.60%,791,547
94612,23.50%,21,21.40%,17,6.70%,14,11.80%,15,17
94618,489.50%,112,72.70%,19,8.30%,11,7.70%,12,13
94619,80.60%,224,26.50%,124,15.30%,98,3.40%,85,88
94621,50.00%,141,1.10%,94,5.00%,95,6.50%,100,107
94702,157.90%,49,11.80%,19,5.60%,17,0.00%,18,18
94703,108.10%,77,37.00%,37,0.00%,27,3.60%,27,28
94704,103.00%,67,50.00%,33,15.80%,22,26.70%,19,15
94705,138.90%,258,10.20%,108,42.00%,98,50.00%,69,46
94706,253.80%,46,85.70%,13,22.20%,7,50.00%,9,6
1,,,,,09302024.,,,,
,,,,,,,,,
,40.30%,449832,20.60%,320572,12.40%,265909,15.40%,236515,204868
94707,692.90%,222,27.30%,28,22.20%,22,28.60%,18,14
94708,113.30%,386,29.30%,181,32.10%,140,51.40%,106,70
